,Gender,CohortAge,Comorbidity,Age,AllCauseWithAllCancersIncluded,AllCauseExcludingPancCancers
69,Female,66,Low,99,0.366446531,0.365463633
70,Female,66,Low,100,0.399402744,0.398419845
71,Female,66,Moderate,66,0.01481279,0.014531523
72,Female,66,Moderate,67,0.014810687,0.014488771
73,Female,66,Moderate,68,0.019258586,0.018918371
74,Female,66,Moderate,69,0.022352895,0.021987553
75,Female,66,Moderate,70,0.027870812,0.027473402
76,Female,66,Moderate,71,0.031927497,0.031501509
77,Female,66,Moderate,72,0.03744311,0.036986682
78,Female,66,Moderate,73,0.045715524,0.045205416
79,Female,66,Moderate,74,0.05824148,0.057714331
80,Female,66,Moderate,75,0.057422869,0.056874073
81,Female,66,Moderate,76,0.055514116,0.054924225
82,Female,66,Moderate,77,0.076827224,0.076189273
83,Female,66,Moderate,78,0.083966236,0.083316878
84,Female,66,Moderate,79,0.058879707,0.058186325
85,Female,66,Moderate,80,0.064579376,0.063852446
86,Female,66,Moderate,81,0.070977665,0.070207382
87,Female,66,Moderate,82,0.077956121,0.077153528
88,Female,66,Moderate,83,0.085501277,0.084683719
89,Female,66,Moderate,84,0.093927219,0.093071613
90,Female,66,Moderate,85,0.104575061,0.103592163
91,Female,66,Moderate,86,0.114265682,0.113282784
92,Female,66,Moderate,87,0.124940914,0.123958016
93,Female,66,Moderate,88,0.136689213,0.135706315
94,Female,66,Moderate,89,0.149604683,0.148621784
95,Female,66,Moderate,90,0.163783512,0.162800614
96,Female,66,Moderate,91,0.179330789,0.178347891
97,Female,66,Moderate,92,0.196352431,0.195369533
98,Female,66,Moderate,93,0.214963448,0.213980549
99,Female,66,Moderate,94,0.235274731,0.234291832
100,Female,66,Moderate,95,0.257404948,0.25642205
101,Female,66,Moderate,96,0.281470467,0.280487569
102,Female,66,Moderate,97,0.30759112,0.306608222
103,Female,66,Moderate,98,0.335878802,0.334895903
104,Female,66,Moderate,99,0.366446531,0.365463633
105,Female,66,Moderate,100,0.399402744,0.398419845
106,Female,66,Severe,66,0.046660278,0.046379011
107,Female,66,Severe,67,0.038790513,0.038468597
108,Female,66,Severe,68,0.048136354,0.047796139
109,Female,66,Severe,69,0.0494933,0.049127958
110,Female,66,Severe,70,0.053467992,0.053070583
111,Female,66,Severe,71,0.055772428,0.05534644
112,Female,66,Severe,72,0.064800859,0.064344432
113,Female,66,Severe,73,0.073997447,0.073487338
114,Female,66,Severe,74,0.072284859,0.071757711
115,Female,66,Severe,75,0.073948051,0.073399255
116,Female,66,Severe,76,0.074304818,0.073714927
117,Female,66,Severe,77,0.070974851,0.0703369
118,Female,66,Severe,78,0.069729379,0.069080021
119,Female,66,Severe,79,0.058879707,0.058186325
120,Female,66,Severe,80,0.064579376,0.063852446
121,Female,66,Severe,81,0.070977665,0.070207382
122,Female,66,Severe,82,0.077956121,0.077153528
123,Female,66,Severe,83,0.085501277,0.084683719
124,Female,66,Severe,84,0.093927219,0.093071613
125,Female,66,Severe,85,0.104575061,0.103592163
126,Female,66,Severe,86,0.114265682,0.113282784
127,Female,66,Severe,87,0.124940914,0.123958016
128,Female,66,Severe,88,0.136689213,0.135706315
129,Female,66,Severe,89,0.149604683,0.148621784
130,Female,66,Severe,90,0.163783512,0.162800614
131,Female,66,Severe,91,0.179330789,0.178347891
132,Female,66,Severe,92,0.196352431,0.195369533
133,Female,66,Severe,93,0.214963448,0.213980549
134,Female,66,Severe,94,0.235274731,0.234291832
135,Female,66,Severe,95,0.257404948,0.25642205
136,Female,66,Severe,96,0.281470467,0.280487569
137,Female,66,Severe,97,0.30759112,0.306608222
138,Female,66,Severe,98,0.335878802,0.334895903
139,Female,66,Severe,99,0.366446531,0.365463633
140,Female,66,Severe,100,0.399402744,0.398419845
141,Female,67,No,67,0.00835423,0.008032314
142,Female,67,No,68,0.009712752,0.009372537
143,Female,67,No,69,0.010697199,0.010331857
144,Female,67,No,70,0.012377089,0.01197968
145,Female,67,No,71,0.014301303,0.013875316
146,Female,67,No,72,0.016023541,0.015567114
147,Female,67,No,73,0.01758822,0.017078111
148,Female,67,No,74,0.021548896,0.021021747
149,Female,67,No,75,0.025622023,0.025073227
150,Female,67,No,76,0.027380221,0.02679033
151,Female,67,No,77,0.032522515,0.031884564
152,Female,67,No,78,0.035998948,0.03534959
153,Female,67,No,79,0.040173019,0.039479637
154,Female,67,No,80,0.064579376,0.063852446
155,Female,67,No,81,0.070977665,0.070207382
156,Female,67,No,82,0.077956121,0.077153528
157,Female,67,No,83,0.085501277,0.084683719
158,Female,67,No,84,0.093927219,0.093071613
159,Female,67,No,85,0.104575061,0.103592163
160,Female,67,No,86,0.114265682,0.113282784
161,Female,67,No,87,0.124940914,0.123958016
162,Female,67,No,88,0.136689213,0.135706315
163,Female,67,No,89,0.149604683,0.148621784
164,Female,67,No,90,0.163783512,0.162800614
165,Female,67,No,91,0.179330789,0.178347891
166,Female,67,No,92,0.196352431,0.195369533
167,Female,67,No,93,0.214963448,0.213980549
168,Female,67,No,94,0.235274731,0.234291832
169,Female,67,No,95,0.257404948,0.25642205
170,Female,67,No,96,0.281470467,0.280487569
171,Female,67,No,97,0.30759112,0.306608222
172,Female,67,No,98,0.335878802,0.334895903
173,Female,67,No,99,0.366446531,0.365463633
174,Female,67,No,100,0.399402744,0.398419845
175,Female,67,Low,67,0.011240345,0.010918429
176,Female,67,Low,68,0.016815744,0.016475529
177,Female,67,Low,69,0.014951474,0.014586131
178,Female,67,Low,70,0.023591943,0.023194534
179,Female,67,Low,71,0.022912307,0.02248632
180,Female,67,Low,72,0.031332757,0.03087633
181,Female,67,Low,73,0.030067825,0.029557717
182,Female,67,Low,74,0.027333764,0.026806616
183,Female,67,Low,75,0.042935025,0.042386229
184,Female,67,Low,76,0.064487956,0.063898065
185,Female,67,Low,77,0.073728879,0.073090928
186,Female,67,Low,78,0.055225073,0.054575715
187,Female,67,Low,79,0.045810695,0.045117314
188,Female,67,Low,80,0.064579376,0.063852446
189,Female,67,Low,81,0.070977665,0.070207382
190,Female,67,Low,82,0.077956121,0.077153528
191,Female,67,Low,83,0.085501277,0.084683719
192,Female,67,Low,84,0.093927219,0.093071613
193,Female,67,Low,85,0.104575061,0.103592163
194,Female,67,Low,86,0.114265682,0.113282784
195,Female,67,Low,87,0.124940914,0.123958016
196,Female,67,Low,88,0.136689213,0.135706315
197,Female,67,Low,89,0.149604683,0.148621784
198,Female,67,Low,90,0.163783512,0.162800614
199,Female,67,Low,91,0.179330789,0.178347891
200,Female,67,Low,92,0.196352431,0.195369533
201,Female,67,Low,93,0.214963448,0.213980549
202,Female,67,Low,94,0.235274731,0.234291832
203,Female,67,Low,95,0.257404948,0.25642205
204,Female,67,Low,96,0.281470467,0.280487569
205,Female,67,Low,97,0.30759112,0.306608222
206,Female,67,Low,98,0.335878802,0.334895903
207,Female,67,Low,99,0.366446531,0.365463633
208,Female,67,Low,100,0.399402744,0.398419845
209,Female,67,Moderate,67,0.012312818,0.011990902
210,Female,67,Moderate,68,0.015563564,0.015223349
211,Female,67,Moderate,69,0.019290242,0.0189249
212,Female,67,Moderate,70,0.024569746,0.024172336
213,Female,67,Moderate,71,0.030469698,0.03004371
214,Female,67,Moderate,72,0.03239486,0.031938433
215,Female,67,Moderate,73,0.042911996,0.042401888
216,Female,67,Moderate,74,0.047961645,0.047434497
217,Female,67,Moderate,75,0.054289983,0.053741187
218,Female,67,Moderate,76,0.068237269,0.067647378
219,Female,67,Moderate,77,0.075520365,0.074882414
220,Female,67,Moderate,78,0.07600988,0.075360522
221,Female,67,Moderate,79,0.079047265,0.078353884
222,Female,67,Moderate,80,0.064579376,0.063852446
223,Female,67,Moderate,81,0.070977665,0.070207382
224,Female,67,Moderate,82,0.077956121,0.077153528
225,Female,67,Moderate,83,0.085501277,0.084683719
226,Female,67,Moderate,84,0.093927219,0.093071613
227,Female,67,Moderate,85,0.104575061,0.103592163
228,Female,67,Moderate,86,0.114265682,0.113282784
229,Female,67,Moderate,87,0.124940914,0.123958016
230,Female,67,Moderate,88,0.136689213,0.135706315
231,Female,67,Moderate,89,0.149604683,0.148621784
232,Female,67,Moderate,90,0.163783512,0.162800614
233,Female,67,Moderate,91,0.179330789,0.178347891
234,Female,67,Moderate,92,0.196352431,0.195369533
235,Female,67,Moderate,93,0.214963448,0.213980549
236,Female,67,Moderate,94,0.235274731,0.234291832
237,Female,67,Moderate,95,0.257404948,0.25642205
238,Female,67,Moderate,96,0.281470467,0.280487569
239,Female,67,Moderate,97,0.30759112,0.306608222
240,Female,67,Moderate,98,0.335878802,0.334895903
241,Female,67,Moderate,99,0.366446531,0.365463633
242,Female,67,Moderate,100,0.399402744,0.398419845
243,Female,67,Severe,67,0.041026648,0.040704732
244,Female,67,Severe,68,0.045832035,0.04549182
245,Female,67,Severe,69,0.048146307,0.047780965
246,Female,67,Severe,70,0.04963085,0.04923344
247,Female,67,Severe,71,0.051978336,0.051552348
248,Female,67,Severe,72,0.054749013,0.054292585
249,Female,67,Severe,73,0.069332441,0.068822332
250,Female,67,Severe,74,0.077534901,0.077007753
251,Female,67,Severe,75,0.086062237,0.085513441
252,Female,67,Severe,76,0.076721097,0.076131206
253,Female,67,Severe,77,0.072244027,0.071606077
254,Female,67,Severe,78,0.079894318,0.07924496
255,Female,67,Severe,79,0.088453983,0.087760602
256,Female,67,Severe,80,0.064579376,0.063852446
257,Female,67,Severe,81,0.070977665,0.070207382
258,Female,67,Severe,82,0.077956121,0.077153528
259,Female,67,Severe,83,0.085501277,0.084683719
260,Female,67,Severe,84,0.093927219,0.093071613
261,Female,67,Severe,85,0.104575061,0.103592163
262,Female,67,Severe,86,0.114265682,0.113282784
263,Female,67,Severe,87,0.124940914,0.123958016
264,Female,67,Severe,88,0.136689213,0.135706315
265,Female,67,Severe,89,0.149604683,0.148621784
266,Female,67,Severe,90,0.163783512,0.162800614
267,Female,67,Severe,91,0.179330789,0.178347891
268,Female,67,Severe,92,0.196352431,0.195369533
269,Female,67,Severe,93,0.214963448,0.213980549
270,Female,67,Severe,94,0.235274731,0.234291832
271,Female,67,Severe,95,0.257404948,0.25642205
272,Female,67,Severe,96,0.281470467,0.280487569
273,Female,67,Severe,97,0.30759112,0.306608222
274,Female,67,Severe,98,0.335878802,0.334895903
275,Female,67,Severe,99,0.366446531,0.365463633
276,Female,67,Severe,100,0.399402744,0.398419845
277,Female,68,No,68,0.009159922,0.008819707
278,Female,68,No,69,0.010423933,0.01005859
279,Female,68,No,70,0.011628019,0.011230609
280,Female,68,No,71,0.013444435,0.013018448
281,Female,68,No,72,0.014868103,0.014411675
282,Female,68,No,73,0.017247312,0.016737203
283,Female,68,No,74,0.020133008,0.01960586
284,Female,68,No,75,0.02485545,0.024306654
285,Female,68,No,76,0.027163217,0.026573326
286,Female,68,No,77,0.031577817,0.030939866
287,Female,68,No,78,0.035973107,0.035323749
288,Female,68,No,79,0.039099146,0.038405765
289,Female,68,No,80,0.044428203,0.043701273
290,Female,68,No,81,0.070977665,0.070207382
291,Female,68,No,82,0.077956121,0.077153528
292,Female,68,No,83,0.085501277,0.084683719
293,Female,68,No,84,0.093927219,0.093071613
294,Female,68,No,85,0.104575061,0.103592163
295,Female,68,No,86,0.114265682,0.113282784
296,Female,68,No,87,0.124940914,0.123958016
297,Female,68,No,88,0.136689213,0.135706315
298,Female,68,No,89,0.149604683,0.148621784
299,Female,68,No,90,0.163783512,0.162800614
300,Female,68,No,91,0.179330789,0.178347891
301,Female,68,No,92,0.196352431,0.195369533
302,Female,68,No,93,0.214963448,0.213980549
303,Female,68,No,94,0.235274731,0.234291832
304,Female,68,No,95,0.257404948,0.25642205
305,Female,68,No,96,0.281470467,0.280487569
306,Female,68,No,97,0.30759112,0.306608222
307,Female,68,No,98,0.335878802,0.334895903
308,Female,68,No,99,0.366446531,0.365463633
309,Female,68,No,100,0.399402744,0.398419845
310,Female,68,Low,68,0.016254775,0.015914561
311,Female,68,Low,69,0.014296617,0.013931274
312,Female,68,Low,70,0.022241293,0.021843884
313,Female,68,Low,71,0.019687362,0.019261375
314,Female,68,Low,72,0.029388703,0.028932276
315,Female,68,Low,73,0.029519481,0.029009372
316,Female,68,Low,74,0.028347124,0.027819975
317,Female,68,Low,75,0.040857699,0.040308903
318,Female,68,Low,76,0.061829031,0.06123914
319,Female,68,Low,77,0.050601452,0.049963501
320,Female,68,Low,78,0.057611379,0.056962021
321,Female,68,Low,79,0.0736244,0.072931019
322,Female,68,Low,80,0.073614456,0.072887525
323,Female,68,Low,81,0.070977665,0.070207382
324,Female,68,Low,82,0.077956121,0.077153528
325,Female,68,Low,83,0.085501277,0.084683719
326,Female,68,Low,84,0.093927219,0.093071613
327,Female,68,Low,85,0.104575061,0.103592163
328,Female,68,Low,86,0.114265682,0.113282784
329,Female,68,Low,87,0.124940914,0.123958016
330,Female,68,Low,88,0.136689213,0.135706315
331,Female,68,Low,89,0.149604683,0.148621784
332,Female,68,Low,90,0.163783512,0.162800614
333,Female,68,Low,91,0.179330789,0.178347891
334,Female,68,Low,92,0.196352431,0.195369533
335,Female,68,Low,93,0.214963448,0.213980549
336,Female,68,Low,94,0.235274731,0.234291832
337,Female,68,Low,95,0.257404948,0.25642205
338,Female,68,Low,96,0.281470467,0.280487569
339,Female,68,Low,97,0.30759112,0.306608222
340,Female,68,Low,98,0.335878802,0.334895903
341,Female,68,Low,99,0.366446531,0.365463633
342,Female,68,Low,100,0.399402744,0.398419845
343,Female,68,Moderate,68,0.013745028,0.013404813
344,Female,68,Moderate,69,0.015617519,0.015252177
345,Female,68,Moderate,70,0.020901273,0.020503864
346,Female,68,Moderate,71,0.025259484,0.024833496
347,Female,68,Moderate,72,0.028147273,0.027690846
348,Female,68,Moderate,73,0.036013313,0.035503204
349,Female,68,Moderate,74,0.04327613,0.042748982
350,Female,68,Moderate,75,0.051853636,0.05130484
351,Female,68,Moderate,76,0.060368863,0.059778972
352,Female,68,Moderate,77,0.072700442,0.072062491
353,Female,68,Moderate,78,0.079985721,0.079336363
354,Female,68,Moderate,79,0.077977314,0.077283933
355,Female,68,Moderate,80,0.088105016,0.087378086
356,Female,68,Moderate,81,0.070977665,0.070207382
357,Female,68,Moderate,82,0.077956121,0.077153528
358,Female,68,Moderate,83,0.085501277,0.084683719
359,Female,68,Moderate,84,0.093927219,0.093071613
360,Female,68,Moderate,85,0.104575061,0.103592163
361,Female,68,Moderate,86,0.114265682,0.113282784
362,Female,68,Moderate,87,0.124940914,0.123958016
363,Female,68,Moderate,88,0.136689213,0.135706315
364,Female,68,Moderate,89,0.149604683,0.148621784
365,Female,68,Moderate,90,0.163783512,0.162800614
366,Female,68,Moderate,91,0.179330789,0.178347891
367,Female,68,Moderate,92,0.196352431,0.195369533
368,Female,68,Moderate,93,0.214963448,0.213980549
369,Female,68,Moderate,94,0.235274731,0.234291832
370,Female,68,Moderate,95,0.257404948,0.25642205
371,Female,68,Moderate,96,0.281470467,0.280487569
372,Female,68,Moderate,97,0.30759112,0.306608222
373,Female,68,Moderate,98,0.335878802,0.334895903
374,Female,68,Moderate,99,0.366446531,0.365463633
375,Female,68,Moderate,100,0.399402744,0.398419845
376,Female,68,Severe,68,0.045706242,0.045366027
377,Female,68,Severe,69,0.045859392,0.04549405
378,Female,68,Severe,70,0.052045915,0.051648505
379,Female,68,Severe,71,0.055538048,0.055112061
380,Female,68,Severe,72,0.057776007,0.05731958
381,Female,68,Severe,73,0.066560116,0.066050008
382,Female,68,Severe,74,0.068188454,0.067661306
383,Female,68,Severe,75,0.076983702,0.076434906
384,Female,68,Severe,76,0.082890257,0.082300366
385,Female,68,Severe,77,0.078162269,0.077524319
386,Female,68,Severe,78,0.090567126,0.089917768
387,Female,68,Severe,79,0.102521157,0.101827776
388,Female,68,Severe,80,0.086536286,0.085809355
389,Female,68,Severe,81,0.070977665,0.070207382
390,Female,68,Severe,82,0.077956121,0.077153528
391,Female,68,Severe,83,0.085501277,0.084683719
392,Female,68,Severe,84,0.093927219,0.093071613
393,Female,68,Severe,85,0.104575061,0.103592163
394,Female,68,Severe,86,0.114265682,0.113282784
395,Female,68,Severe,87,0.124940914,0.123958016
396,Female,68,Severe,88,0.136689213,0.135706315
397,Female,68,Severe,89,0.149604683,0.148621784
398,Female,68,Severe,90,0.163783512,0.162800614
399,Female,68,Severe,91,0.179330789,0.178347891
400,Female,68,Severe,92,0.196352431,0.195369533
401,Female,68,Severe,93,0.214963448,0.213980549
402,Female,68,Severe,94,0.235274731,0.234291832
403,Female,68,Severe,95,0.257404948,0.25642205
404,Female,68,Severe,96,0.281470467,0.280487569
405,Female,68,Severe,97,0.30759112,0.306608222
406,Female,68,Severe,98,0.335878802,0.334895903
407,Female,68,Severe,99,0.366446531,0.365463633
408,Female,68,Severe,100,0.399402744,0.398419845
409,Female,69,No,69,0.009814413,0.00944907
410,Female,69,No,70,0.01140646,0.01100905
411,Female,69,No,71,0.012661242,0.012235255
412,Female,69,No,72,0.014399924,0.013943496
413,Female,69,No,73,0.016917738,0.01640763
414,Female,69,No,74,0.018743231,0.018216082
415,Female,69,No,75,0.023345268,0.022796472
416,Female,69,No,76,0.026453131,0.02586324
417,Female,69,No,77,0.030906476,0.030268525
418,Female,69,No,78,0.035498243,0.034848885
419,Female,69,No,79,0.0393941,0.038700719
420,Female,69,No,80,0.045925873,0.045198943
421,Female,69,No,81,0.048200965,0.047430683
422,Female,69,No,82,0.077956121,0.077153528
423,Female,69,No,83,0.085501277,0.084683719
424,Female,69,No,84,0.093927219,0.093071613
425,Female,69,No,85,0.104575061,0.103592163
426,Female,69,No,86,0.114265682,0.113282784
427,Female,69,No,87,0.124940914,0.123958016
428,Female,69,No,88,0.136689213,0.135706315
429,Female,69,No,89,0.149604683,0.148621784
430,Female,69,No,90,0.163783512,0.162800614
431,Female,69,No,91,0.179330789,0.178347891
432,Female,69,No,92,0.196352431,0.195369533
433,Female,69,No,93,0.214963448,0.213980549
434,Female,69,No,94,0.235274731,0.234291832
435,Female,69,No,95,0.257404948,0.25642205
436,Female,69,No,96,0.281470467,0.280487569
437,Female,69,No,97,0.30759112,0.306608222
438,Female,69,No,98,0.335878802,0.334895903
439,Female,69,No,99,0.366446531,0.365463633
440,Female,69,No,100,0.399402744,0.398419845
441,Female,69,Low,69,0.014199969,0.013834626
442,Female,69,Low,70,0.024177058,0.023779648
443,Female,69,Low,71,0.021335814,0.020909826
444,Female,69,Low,72,0.025621855,0.025165428
445,Female,69,Low,73,0.025403665,0.024893556
446,Female,69,Low,74,0.029568835,0.029041686
447,Female,69,Low,75,0.034389143,0.033840347
448,Female,69,Low,76,0.04731107,0.046721179
449,Female,69,Low,77,0.057009425,0.056371475
450,Female,69,Low,78,0.063054021,0.062404663
451,Female,69,Low,79,0.061369678,0.060676297
452,Female,69,Low,80,0.05563613,0.054909199
453,Female,69,Low,81,0.069719756,0.068949473
454,Female,69,Low,82,0.077956121,0.077153528
455,Female,69,Low,83,0.085501277,0.084683719
456,Female,69,Low,84,0.093927219,0.093071613
457,Female,69,Low,85,0.104575061,0.103592163
458,Female,69,Low,86,0.114265682,0.113282784
459,Female,69,Low,87,0.124940914,0.123958016
460,Female,69,Low,88,0.136689213,0.135706315
461,Female,69,Low,89,0.149604683,0.148621784
462,Female,69,Low,90,0.163783512,0.162800614
463,Female,69,Low,91,0.179330789,0.178347891
464,Female,69,Low,92,0.196352431,0.195369533
465,Female,69,Low,93,0.214963448,0.213980549
466,Female,69,Low,94,0.235274731,0.234291832
467,Female,69,Low,95,0.257404948,0.25642205
468,Female,69,Low,96,0.281470467,0.280487569
469,Female,69,Low,97,0.30759112,0.306608222
470,Female,69,Low,98,0.335878802,0.334895903
471,Female,69,Low,99,0.366446531,0.365463633
472,Female,69,Low,100,0.399402744,0.398419845
473,Female,69,Moderate,69,0.012904466,0.012539123
474,Female,69,Moderate,70,0.02019329,0.01979588
475,Female,69,Moderate,71,0.025056834,0.024630846
476,Female,69,Moderate,72,0.025224731,0.024768303
477,Female,69,Moderate,73,0.032974144,0.032464035
478,Female,69,Moderate,74,0.040502619,0.03997547
479,Female,69,Moderate,75,0.043443043,0.042894247
480,Female,69,Moderate,76,0.054612746,0.054022855
481,Female,69,Moderate,77,0.069927049,0.069289098
482,Female,69,Moderate,78,0.075780467,0.075131109
483,Female,69,Moderate,79,0.079844199,0.079150818
484,Female,69,Moderate,80,0.089997039,0.089270109
485,Female,69,Moderate,81,0.073394834,0.072624551
486,Female,69,Moderate,82,0.077956121,0.077153528
487,Female,69,Moderate,83,0.085501277,0.084683719
488,Female,69,Moderate,84,0.093927219,0.093071613
489,Female,69,Moderate,85,0.104575061,0.103592163
490,Female,69,Moderate,86,0.114265682,0.113282784
491,Female,69,Moderate,87,0.124940914,0.123958016
492,Female,69,Moderate,88,0.136689213,0.135706315
493,Female,69,Moderate,89,0.149604683,0.148621784
494,Female,69,Moderate,90,0.163783512,0.162800614
495,Female,69,Moderate,91,0.179330789,0.178347891
496,Female,69,Moderate,92,0.196352431,0.195369533
497,Female,69,Moderate,93,0.214963448,0.213980549
498,Female,69,Moderate,94,0.235274731,0.234291832
499,Female,69,Moderate,95,0.257404948,0.25642205
500,Female,69,Moderate,96,0.281470467,0.280487569
501,Female,69,Moderate,97,0.30759112,0.306608222
502,Female,69,Moderate,98,0.335878802,0.334895903
503,Female,69,Moderate,99,0.366446531,0.365463633
504,Female,69,Moderate,100,0.399402744,0.398419845
505,Female,69,Severe,69,0.048837236,0.048471893
506,Female,69,Severe,70,0.049498828,0.049101419
507,Female,69,Severe,71,0.053156434,0.052730446
508,Female,69,Severe,72,0.057907613,0.057451186
509,Female,69,Severe,73,0.064244855,0.063734746
510,Female,69,Severe,74,0.066722665,0.066195517
511,Female,69,Severe,75,0.074252603,0.073703807
512,Female,69,Severe,76,0.087909542,0.087319651
513,Female,69,Severe,77,0.084710518,0.084072567
514,Female,69,Severe,78,0.094877766,0.094228408
515,Female,69,Severe,79,0.090570751,0.08987737
516,Female,69,Severe,80,0.106726506,0.105999575
517,Female,69,Severe,81,0.096559663,0.09578938
518,Female,69,Severe,82,0.077956121,0.077153528
519,Female,69,Severe,83,0.085501277,0.084683719
520,Female,69,Severe,84,0.093927219,0.093071613
521,Female,69,Severe,85,0.104575061,0.103592163
522,Female,69,Severe,86,0.114265682,0.113282784
523,Female,69,Severe,87,0.124940914,0.123958016
524,Female,69,Severe,88,0.136689213,0.135706315
525,Female,69,Severe,89,0.149604683,0.148621784
526,Female,69,Severe,90,0.163783512,0.162800614
527,Female,69,Severe,91,0.179330789,0.178347891
528,Female,69,Severe,92,0.196352431,0.195369533
529,Female,69,Severe,93,0.214963448,0.213980549
530,Female,69,Severe,94,0.235274731,0.234291832
531,Female,69,Severe,95,0.257404948,0.25642205
532,Female,69,Severe,96,0.281470467,0.280487569
533,Female,69,Severe,97,0.30759112,0.306608222
534,Female,69,Severe,98,0.335878802,0.334895903
535,Female,69,Severe,99,0.366446531,0.365463633
536,Female,69,Severe,100,0.399402744,0.398419845
537,Female,70,No,70,0.010609589,0.010212179
538,Female,70,No,71,0.012366224,0.011940236
539,Female,70,No,72,0.01375056,0.013294132
540,Female,70,No,73,0.01598702,0.015476911
541,Female,70,No,74,0.017824687,0.017297538
542,Female,70,No,75,0.021745112,0.021196316
543,Female,70,No,76,0.0249075,0.024317609
544,Female,70,No,77,0.029928122,0.029290171
545,Female,70,No,78,0.03472116,0.034071802
546,Female,70,No,79,0.039166803,0.038473422
547,Female,70,No,80,0.045159626,0.044432696
548,Female,70,No,81,0.047718743,0.046948461
549,Female,70,No,82,0.053649141,0.052846549
550,Female,70,No,83,0.085501277,0.084683719
551,Female,70,No,84,0.093927219,0.093071613
552,Female,70,No,85,0.104575061,0.103592163
553,Female,70,No,86,0.114265682,0.113282784
554,Female,70,No,87,0.124940914,0.123958016
555,Female,70,No,88,0.136689213,0.135706315
556,Female,70,No,89,0.149604683,0.148621784
557,Female,70,No,90,0.163783512,0.162800614
558,Female,70,No,91,0.179330789,0.178347891
559,Female,70,No,92,0.196352431,0.195369533
560,Female,70,No,93,0.214963448,0.213980549
561,Female,70,No,94,0.235274731,0.234291832
562,Female,70,No,95,0.257404948,0.25642205
563,Female,70,No,96,0.281470467,0.280487569
564,Female,70,No,97,0.30759112,0.306608222
565,Female,70,No,98,0.335878802,0.334895903
566,Female,70,No,99,0.366446531,0.365463633
567,Female,70,No,100,0.399402744,0.398419845
568,Female,70,Low,70,0.019374899,0.018977489
569,Female,70,Low,71,0.018083342,0.017657354
